# 2.5 Gyr
   B-V       V 
 1.659  13.569 
 1.644  13.248 
 1.620  12.775 
 1.577  12.158 
 1.540  11.617 
 1.520  11.323 
 1.512  11.200 
 1.508  11.127 
 1.505  11.079 
 1.503  11.046 
 1.502  11.022 
 1.501  11.003 
 1.500  10.992 
 1.500  10.979 
 1.500  10.974 
 1.500  10.968 
 1.441  10.007 
 1.437   9.885 
 1.430   9.740 
 1.422   9.591 
 1.415   9.455 
 1.408   9.336 
 1.401   9.220 
 1.394   9.098 
 1.386   8.959 
 1.379   8.810 
 1.366   8.666 
 1.347   8.506 
 1.356   8.536 
 1.315   8.202 
 1.218   7.644 
 0.997   6.637 
 0.948   6.424 
 0.896   6.192 
 0.838   5.928 
 0.760   5.595 
 0.716   5.410 
 0.691   5.296 
 0.672   5.206 
 0.655   5.127 
 0.640   5.052 
 0.624   4.975 
 0.609   4.896 
 0.595   4.822 
 0.592   4.805 
 0.578   4.727 
 0.570   4.682 
 0.563   4.641 
 0.573   4.722 
 0.566   4.688 
 0.559   4.650 
 0.551   4.611 
 0.543   4.572 
 0.535   4.534 
 0.528   4.497 
 0.522   4.465 
 0.516   4.434 
 0.513   4.407 
 0.510   4.380 
 0.507   4.354 
 0.504   4.326 
 0.501   4.295 
 0.499   4.254 
 0.458   3.913 
 0.454   3.879 
 0.448   3.820 
 0.428   3.589 
 0.421   3.496 
 0.418   3.431 
 0.416   3.378 
 0.414   3.334 
 0.413   3.297 
 0.411   3.265 
 0.410   3.238 
 0.410   3.213 
 0.409   3.190 
 0.409   3.175 
 0.409   3.160 
 0.409   3.144 
 0.409   3.128 
 0.410   3.110 
 0.410   3.091 
 0.410   3.069 
 0.410   3.039 
 0.397   2.811 
 0.400   2.798 
 0.402   2.786 
 0.405   2.773 
 0.407   2.760 
 0.409   2.747 
 0.411   2.733 
 0.413   2.717 
 0.415   2.697 
 0.418   2.649 
 0.423   2.550 
 0.427   2.514 
 0.430   2.486 
 0.433   2.461 
 0.435   2.439 
 0.437   2.417 
 0.438   2.397 
 0.439   2.377 
 0.439   2.359 
 0.439   2.342 
 0.438   2.327 
 0.437   2.313 
 0.436   2.309 
 0.436   2.304 
 0.435   2.299 
 0.434   2.294 
 0.433   2.288 
 0.432   2.283 
 0.431   2.276 
 0.429   2.269 
 0.427   2.262 
 0.425   2.255 
 0.423   2.247 
 0.420   2.239 
 0.418   2.230 
 0.414   2.221 
 0.411   2.211 
 0.408   2.200 
 0.404   2.189 
 0.400   2.176 
 0.395   2.164 
 0.390   2.150 
 0.385   2.136 
 0.380   2.122 
 0.375   2.107 
 0.370   2.093 
 0.367   2.086 
 0.366   2.078 
 0.364   2.064 
 0.361   2.049 
 0.359   2.034 
 0.357   2.019 
 0.358   2.013 
 0.360   2.008 
 0.361   2.006 
 0.365   2.025 
 0.371   2.044 
 0.376   2.051 
 0.380   2.056 
 0.385   2.062 
 0.391   2.064 
 0.403   2.059 
 0.409   2.042 
 0.415   2.032 
 0.423   2.026 
 0.432   2.023 
 0.438   2.022 
 0.441   2.022 
 0.443   2.023 
 0.444   2.024 
 0.446   2.025 
 0.447   2.026 
 0.455   2.026 
 0.468   2.028 
 0.487   2.033 
 0.506   2.042 
 0.523   2.056 
 0.540   2.076 
 0.558   2.102 
 0.577   2.132 
 0.595   2.167 
 0.613   2.204 
 0.630   2.244 
 0.646   2.285 
 0.662   2.327 
 0.678   2.370 
 0.694   2.413 
 0.711   2.456 
 0.730   2.499 
 0.752   2.540 
 0.778   2.569 
 0.801   2.576 
 0.820   2.561 
 0.833   2.528 
 0.844   2.487 
 0.852   2.442 
 0.858   2.395 
 0.864   2.348 
 0.869   2.301 
 0.874   2.255 
 0.879   2.209 
 0.884   2.163 
 0.888   2.118 
 0.893   2.072 
 0.897   2.027 
 0.901   1.982 
 0.905   1.937 
 0.910   1.892 
 0.914   1.848 
 0.918   1.804 
 0.923   1.760 
 0.927   1.717 
 0.931   1.673 
 0.936   1.631 
 0.940   1.588 
 0.945   1.546 
 0.949   1.504 
 0.954   1.463 
 0.958   1.422 
 0.963   1.381 
 0.967   1.341 
 0.972   1.301 
 0.977   1.261 
 0.981   1.221 
 0.986   1.182 
 0.991   1.141 
 0.996   1.101 
 0.997   1.093 
 0.998   1.085 
 0.999   1.077 
 1.000   1.069 
 1.001   1.062 
 1.002   1.054 
 1.003   1.046 
 1.003   1.038 
 1.005   1.029 
 1.006   1.022 
 1.015   0.940 
 1.025   0.860 
 1.034   0.785 
 1.043   0.713 
 1.050   0.666 
 1.050   0.665 
 1.056   0.611 
 1.070   0.517 
 1.085   0.423 
 1.090   0.394 
 1.097   0.355 
 1.115   0.245 
 1.135   0.134 
 1.155   0.027 
 1.174  -0.077 
 1.195  -0.183 
 1.216  -0.286 
 1.235  -0.374 
 1.254  -0.460 
 1.272  -0.541 
 1.290  -0.621 
 1.308  -0.697 
 1.325  -0.770 
 1.342  -0.840 
 1.358  -0.907 
 1.374  -0.970 
 1.390  -1.031 
 1.406  -1.089 
 1.423  -1.145 
 1.438  -1.199 
 1.454  -1.250 
 1.468  -1.299 
 1.482  -1.345 
 1.494  -1.389 
 1.506  -1.429 
 1.518  -1.467 
 1.528  -1.502 
 1.537  -1.533 
 1.546  -1.561 
 1.556  -1.589 
 1.567  -1.615 
 1.577  -1.637 
 1.589  -1.656 
 1.598  -1.670 
 1.605  -1.679 
 1.611  -1.684 
 1.611  -1.677 
 1.604  -1.659 
 1.592  -1.629 
 1.572  -1.582 
 1.545  -1.522 
 1.514  -1.452 
 1.484  -1.387 
