# NGC 2420
# Distance = 2390 pc
#  B-V       V 
 0.349  14.034 
 0.364  14.761 
 0.350  14.941 
 0.368  15.122 
 0.412  15.546 
 0.555  16.739 
 0.559  16.747 
 0.560  16.861 
 0.626  17.116 
 0.801  17.319 
 1.085  11.450 
 0.946  13.004 
 0.884  13.596 
 0.443  13.803 
 0.393  13.817 
 0.395  14.415 
 0.394  14.482 
 0.379  14.524 
 0.379  14.604 
 0.369  14.915 
 0.404  15.081 
 0.370  15.128 
 0.450  15.280 
 0.380  15.361 
 0.478  15.564 
 0.429  15.802 
 0.426  15.846 
 0.462  16.015 
 0.580  16.216 
 0.460  16.104 
 0.548  16.512 
 0.563  16.608 
 0.576  16.799 
 0.587  16.873 
 0.586  16.875 
 0.781  17.282 
 0.660  17.387 
 0.931  17.890 
 0.724  17.745 
 1.396  10.959 
 0.954  12.495 
 0.436  13.892 
 0.010  13.584 
 0.422  14.175 
 0.779  14.511 
 0.397  14.177 
 0.397  14.320 
 0.380  14.290 
 0.391  14.389 
 0.396  14.414 
 0.375  14.420 
 0.388  14.463 
 0.377  14.474 
 0.387  14.487 
 0.376  14.559 
 0.379  14.583 
 0.376  14.649 
 0.381  14.829 
 0.396  14.868 
 0.406  15.080 
 0.383  15.103 
 0.365  15.189 
 0.396  15.518 
 0.400  15.540 
 0.401  15.530 
 0.422  15.668 
 0.408  15.687 
 0.405  15.704 
 0.406  15.721 
 0.535  15.849 
 0.570  15.909 
 0.426  15.803 
 0.562  16.026 
 0.469  16.172 
 0.499  16.280 
 0.516  16.480 
 0.649  16.620 
 0.684  16.645 
 0.523  16.509 
 0.565  16.617 
 0.619  16.963 
 0.847  17.471 
 0.663  17.338 
 0.725  17.591 
 0.855  17.841 
 0.744  17.668 
 1.214  11.394 
 0.834  11.658 
 0.809  14.304 
 0.806  14.401 
 0.378  14.520 
 0.403  14.963 
 0.371  15.056 
 0.377  15.286 
 0.391  15.452 
 0.386  15.468 
 0.457  15.492 
