KISSR	ZS	RA	DEC
1226	0.30983	182.36683	43.28083
971	0.32825	241.70042	29.18011
1751	0.34763	214.19869	42.85322
1802	0.42133	218.17136	43.01106
867	0.49255	237.39281	29.76547
127	0.2964	192.27919	28.95774
1963	0.31392	233.10522	43.44244
2036	0.31453	237.23344	43.98553
2097	0.32011	241.46242	44.09466
1541	0.32551	199.78031	43.13696
1561	0.33756	201.01772	43.56844
603	0.342	224.81883	29.81045
1304	0.34779	186.92478	44.01151
838	0.35106	235.04664	29.19408
767	0.35547	232.23542	29.6662
279	0.35691	200.93897	28.73402
1676	0.36945	208.85442	43.23086
1600	0.37449	203.58708	42.71906
1582	0.37488	202.42811	43.94003
1348	0.37612	189.02247	43.15684
47	0.40851	186.04328	29.74871
2363	0.41997	217.985	32.86044
1508	0.29397	198.672	43.72399
1290	0.30496	185.60078	43.18965
2005	0.30805	235.69358	43.89937
1516	0.32766	198.956	43.57503
1825	0.33112	219.08469	43.88378
847	0.35575	235.9802	29.46394
2042	0.3568	237.44008	43.05719
560	0.35787	217.45028	29.48553
225	0.35822	197.54067	29.29527
1791	0.35923	217.42047	43.90243
1953	0.36882	231.599	43.00455
1759	0.40504	215.15889	43.72554
1038	0.41001	247.14056	29.32112
